ticker,liquidity,beta,sharpe,pe_ratio,momentum
ABCB4.SA,675049.1803278689,0.80783498631607,-0.0285860334121355,3.915547,-0.0208003096630592
AGRO3.SA,247523.77049180327,0.4905692371536947,-0.0749109083067254,7.874552,-0.0843309746328346
RAIL3.SA,13511445.901639344,1.2615119607073648,-0.0749077386414304,,-0.1387170019398149
ALPA3.SA,8702.459016393443,1.0185911385323254,-0.0043024866269956,44.466667,0.0132764836209109
ALPA4.SA,2863298.3606557376,1.6166338472018107,-0.0064712347593724,45.399998,0.0085345649618781
AMAR3.SA,288210.65573770495,0.3116709799964429,0.1126038763954347,0.55821913,0.4896112563928319
ABEV3.SA,34813137.704918034,0.8299777913288403,0.0371887097493556,14.879121,0.1053269476849804
BBAS3.SA,19702631.96721312,0.8843430155177195,0.0357175845045707,6.1385283,0.0834492463494419
BBDC3.SA,8890367.213114753,1.2620352845364484,-0.0415383631590756,8.846154,-0.0495304321791632
BBDC4.SA,40499705.73770492,1.3373906282455348,-0.0428892498992221,9.730769,-0.0600583807036053
BEEF3.SA,8867761.475409836,1.7969781083899576,-0.0274655915676654,,-0.0770942644228391
BPAN4.SA,1979948.3606557376,1.2955720280559249,-0.1153228200913895,11.903226,-0.2878758263249261
BRAP3.SA,72432.7868852459,0.661986385229984,-0.0217157231351901,3.8654292,-0.0061528016073989
BRAP4.SA,4020432.7868852457,0.8388112409094334,-0.0035875000762917,4.190255,0.0220493624710199
BRFS3.SA,8497350.819672132,0.72973103423352,-0.0697466553303162,10.010309,-0.1764127930921059
BRKM3.SA,21008.19672131148,1.3550271468046031,-0.1763997625235555,,-0.526924016061958
BRKM5.SA,3170719.672131148,1.642912393325772,-0.160692276945183,,-0.5385861921801456
BRSR6.SA,1498052.4590163934,0.7326143654390985,-0.0036229160967879,3.8626764,0.0224690878667785
OIBR3.SA,3528216.393442623,0.7551141336165839,-0.0715676966153973,0.010337641,-0.8004869074107515
OIBR4.SA,16176.22950819672,0.4097283789587372,-0.0557028817948029,0.06936223,-0.2359974371318985
B3SA3.SA,52908514.75409836,1.580911886611567,0.0408879330709073,14.939759,0.1439253222734648
CCRO3.SA,10380560.655737706,1.4433874558334825,-0.0204267384849366,18.854837,-0.0160809530413593
CEDO4.SA,724.7933884297521,0.3594369758731952,-0.0330162451395881,3.3070867,-0.0829601848015353
CGRA4.SA,8573.77049180328,0.2136658508122306,0.0658377973652414,6.2551723,0.1616480219991135
CMIG3.SA,219462.29508196723,0.6378139931608401,0.0300152309135694,7.1674643,0.0860046975603834
CMIG4.SA,13127086.06557377,0.8898239337676707,-0.0256144555336555,5.1387563,-0.0204729968578167
COCE5.SA,40573.77049180328,0.3775102839706024,-0.0741779629895095,6.612466,-0.1323640317208241
CPFE3.SA,2087290.163934426,0.5006775649546362,0.0854305114926342,8.101267,0.1530418642452035
CPLE3.SA,6255571.31147541,1.0172498497076532,0.0206396027901444,12.038463,0.0661057007919987
CPLE6.SA,16267163.114754098,1.070447908884723,0.0208233166052238,13.371796,0.0656706437829708
CSAN3.SA,20062399.18032787,2.117988903617246,-0.1483626385801582,,-0.4688723964831696
CSMG3.SA,1663451.6393442622,0.720626342653663,-0.0036786356039919,11.205742,0.0211266821863177
CSNA3.SA,11989627.049180329,2.0016109571704583,-0.0299155311543967,,-0.0866279143618899
CYRE3.SA,6606371.31147541,1.7594831607969716,0.0517373189567427,5.22,0.1689650585054614
DASA3.SA,853803.2786885246,1.4717295880391443,-0.0746857996148489,,-0.2521607225077217
DIRR3.SA,2109588.524590164,1.3950199407125876,0.0161052476136743,8.539726,0.0728914595009767
ECOR3.SA,4524216.393442623,2.783502140539269,-0.0604200250990165,4.0153847,-0.2448208956182166
ELET3.SA,9129118.852459015,1.0144953739845934,0.0333318076591446,9.262222,0.0876585880308523
ELET6.SA,1413170.491803279,0.9999582134639392,0.0289215587069697,9.986667,0.0776016188975819
EMBR3.SA,6195662.295081968,0.3981009592994318,0.1071601799845951,26.194853,0.4025047387331038
ENGI4.SA,14597.540983606556,1.275597957632998,-0.0115610789561247,4.415663,2.6171407069286445e-06
EQTL3.SA,8789338.360655738,1.2102209182352015,-0.0055284736156538,17.292553,0.0176965375584577
YDUQ3.SA,5035054.098360656,2.365275691322092,0.0516468991061398,9.870689,0.2530782096510148
ETER3.SA,149598.3606557377,0.9961154270325228,-0.0444849893196415,7.873016,-0.093995359478602
EUCA4.SA,41216.39344262295,0.779507435012441,-0.0689885997892224,5.9581394,-0.1297716189893335
EVEN3.SA,1326845.0819672132,1.5233100193981357,0.0322757201273032,6.8020835,0.1215756946584837
EZTC3.SA,2535737.704918033,1.82568588064468,0.0615960231887151,8.2,0.2406603835976689
FESA4.SA,461635.24590163934,1.1784959480807595,-9.036031456519904e-05,8.488889,0.0285995559523649
FHER3.SA,53668.03278688525,1.2266541994813271,0.0325508913263355,,0.4208284332846745
TASA4.SA,271498.3606557377,1.1967737029015242,-0.114913704563379,12.793652,-0.2693543524176811
FLRY3.SA,3434045.081967213,1.225688758745198,-0.1181419330277468,10.212389,-0.2515760527202416
GFSA3.SA,4495118.032786885,2.995833912185785,-0.0821364606974791,2.1578948,-0.4903492242245741
GGBR3.SA,73856.55737704918,0.747393703338381,-0.0053058547394561,7.417431,0.0166186379048309
GGBR4.SA,12816845.901639344,0.7786521592838866,-0.0241197564917605,7.9082565,-0.0267561164634794
GOAU3.SA,66371.31147540984,0.9346783743941924,-0.0497301519308829,6.4133334,-0.081951259814445
