ticker,liquidity,beta,sharpe,pe_ratio,momentum
ABCB4.SA,675049.1803278689,0.80783498631607,-0.028586033412135566,3.915547,-0.020800309663059235
AGRO3.SA,247523.77049180327,0.4905692371536947,-0.07491090830672546,7.874552,-0.08433097463283468
RAIL3.SA,13511445.901639344,1.2615119607073648,-0.07490773864143047,,-0.13871700193981495
ALPA3.SA,8702.459016393443,1.0185911385323254,-0.00430248662699562,44.466667,0.01327648362091094
ALPA4.SA,2863298.3606557376,1.6166338472018107,-0.006471234759372465,45.399998,0.0085345649618781
AMAR3.SA,288210.65573770495,0.31167097999644294,0.11260387639543473,0.55821913,0.4896112563928319
ABEV3.SA,34813137.704918034,0.8299777913288403,0.037188709749355696,14.879121,0.10532694768498041
BBAS3.SA,19702631.967213117,0.8843430155177195,0.035717584504570736,6.1385283,0.08344924634944195
BBDC3.SA,8890367.213114753,1.2620352845364484,-0.041538363159075636,8.846154,-0.0495304321791632
BBDC4.SA,40499705.73770492,1.3373906282455348,-0.04288924989922217,9.730769,-0.06005838070360536
BEEF3.SA,8867761.475409836,1.7969781083899576,-0.02746559156766549,,-0.07709426442283918
BPAN4.SA,1979948.3606557378,1.2955720280559249,-0.11532282009138958,11.903226,-0.28787582632492614
BRAP3.SA,72432.7868852459,0.661986385229984,-0.021715723135190115,3.8654292,-0.00615280160739895
BRAP4.SA,4020432.7868852457,0.8388112409094334,-0.0035875000762917828,4.190255,0.022049362471019962
BRFS3.SA,8497350.819672132,0.72973103423352,-0.06974665533031621,10.010309,-0.1764127930921059
BRKM3.SA,21008.196721311477,1.3550271468046033,-0.17639976252355558,,-0.526924016061958
BRKM5.SA,3170719.6721311477,1.6429123933257719,-0.16069227694518304,,-0.5385861921801456
BRSR6.SA,1498052.4590163934,0.7326143654390985,-0.0036229160967879807,3.8626764,0.022469087866778592
OIBR3.SA,3528216.393442623,0.7551141336165839,-0.07156769661539737,0.010337641,-0.8004869074107515
OIBR4.SA,16176.22950819672,0.40972837895873726,-0.05570288179480296,0.06936223,-0.23599743713189858
B3SA3.SA,52908514.75409836,1.580911886611567,0.04088793307090733,14.939759,0.14392532227346488
CCRO3.SA,10380560.655737706,1.4433874558334823,-0.020426738484936667,18.854837,-0.01608095304135937
CEDO4.SA,724.7933884297521,0.3594369758731952,-0.033016245139588125,3.3070867,-0.08296018480153533
CGRA4.SA,8573.77049180328,0.2136658508122306,0.0658377973652414,6.2551723,0.16164802199911354
CMIG3.SA,219462.29508196723,0.6378139931608401,0.030015230913569443,7.1674643,0.08600469756038343
CMIG4.SA,13127086.06557377,0.8898239337676707,-0.025614455533655583,5.1387563,-0.020472996857816783
COCE5.SA,40573.770491803276,0.3775102839706024,-0.07417796298950952,6.612466,-0.13236403172082412
CPFE3.SA,2087290.1639344261,0.5006775649546362,0.0854305114926342,8.101267,0.1530418642452035
CPLE3.SA,6255571.31147541,1.0172498497076532,0.02063960279014444,12.038463,0.06610570079199873
CPLE6.SA,16267163.114754098,1.070447908884723,0.02082331660522383,13.371796,0.06567064378297083
CSAN3.SA,20062399.18032787,2.117988903617246,-0.14836263858015822,,-0.4688723964831696
CSMG3.SA,1663451.6393442622,0.720626342653663,-0.003678635603991955,11.205742,0.021126682186317747
CSNA3.SA,11989627.049180327,2.0016109571704583,-0.02991553115439677,,-0.08662791436188999
CYRE3.SA,6606371.31147541,1.7594831607969716,0.05173731895674271,5.22,0.1689650585054614
DASA3.SA,853803.2786885246,1.4717295880391443,-0.07468579961484895,,-0.2521607225077217
DIRR3.SA,2109588.524590164,1.3950199407125876,0.016105247613674385,8.539726,0.07289145950097675
ECOR3.SA,4524216.393442623,2.7835021405392695,-0.06042002509901658,4.0153847,-0.24482089561821663
ELET3.SA,9129118.852459017,1.0144953739845934,0.033331807659144695,9.262222,0.08765858803085236
ELET6.SA,1413170.4918032787,0.9999582134639391,0.028921558706969722,9.986667,0.07760161889758199
EMBR3.SA,6195662.2950819675,0.39810095929943184,0.10716017998459511,26.194853,0.4025047387331038
ENGI4.SA,14597.540983606557,1.275597957632998,-0.011561078956124708,4.415663,2.6171407069286445e-06
EQTL3.SA,8789338.360655738,1.2102209182352017,-0.005528473615653843,17.292553,0.017696537558457792
YDUQ3.SA,5035054.098360656,2.3652756913220916,0.05164689910613983,9.870689,0.2530782096510148
ETER3.SA,149598.3606557377,0.9961154270325228,-0.044484989319641524,7.873016,-0.09399535947860205
EUCA4.SA,41216.39344262295,0.779507435012441,-0.0689885997892224,5.9581394,-0.12977161898933354
EVEN3.SA,1326845.0819672132,1.5233100193981355,0.032275720127303224,6.8020835,0.12157569465848372
EZTC3.SA,2535737.704918033,1.8256858806446796,0.06159602318871513,8.2,0.24066038359766895
FESA4.SA,461635.24590163934,1.1784959480807595,-9.036031456519903e-05,8.488889,0.028599555952364963
FHER3.SA,53668.03278688525,1.2266541994813271,0.03255089132633559,,0.42082843328467456
TASA4.SA,271498.3606557377,1.1967737029015242,-0.11491370456337904,12.793652,-0.26935435241768113
FLRY3.SA,3434045.081967213,1.2256887587451981,-0.11814193302774681,10.212389,-0.25157605272024164
GFSA3.SA,4495118.032786885,2.995833912185785,-0.08213646069747912,2.1578948,-0.49034922422457417
